Sample_Code,Cooperative,FAO_type,Crop_raw,param_source,clay_pct,SOC_tCha,BD_gcm3,BD_was_imputed,crop_yield,param_note,output_file
CR442SA0208,Mumberes,NTh,Irish Potato,Potato,68.7,109.331,1.0208,True,4.448,,CR442SA0208.csv
CR442SA0209,Mumberes,NTu,Cabbage,stratum_avg,52.7,92.487,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0209.csv
CR442SA0210,Mumberes,NTu,No crop,stratum_avg,48.7,210.394,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0210.csv
CR442SA0211,Mumberes,NTu,Corn,Maize,66.7,105.656,1.0208,True,7.413,,CR442SA0211.csv
CR442SA0212,Mumberes,NTu,Corn,Maize,62.7,102.594,1.0208,True,7.413,,CR442SA0212.csv
CR442SA0213,Mumberes,NTh,Irish Potato,Potato,68.7,106.893,1.11,False,4.448,,CR442SA0213.csv
CR442SA0214,Mumberes,NTh,Grazing,stratum_avg,60.7,79.5,1.0,False,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0214.csv
CR442SA0215,Mumberes,NTu,Oat,stratum_avg,60.7,148.531,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0215.csv
CR442SA0216,Mumberes,NTu,Irish Potato,Potato,58.7,96.163,1.0208,True,4.448,,CR442SA0216.csv
CR442SA0217,Mumberes,NTu,Corn,Maize,56.7,135.056,1.0208,True,7.413,,CR442SA0217.csv
CR442SA0218,Mumberes,NTu,Corn,Maize,40.7,198.144,1.0208,True,7.413,,CR442SA0218.csv
CR442SA0219,Mumberes,NTh,Irish Potato,Potato,62.7,63.7,1.0208,True,4.448,,CR442SA0219.csv
CR442SA0220,Mumberes,NTh,Irish Potato,Potato,48.7,221.544,1.02,False,4.448,,CR442SA0220.csv
CR442SA0221,Mumberes,NTu,No crop,stratum_avg,50.7,105.962,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0221.csv
CR442SA0222,Mumberes,NTu,Corn,Maize,68.7,175.203,1.03,False,7.413,,CR442SA0222.csv
CR442SA0223,Mumberes,NTu,Potato,Potato,56.7,192.78,1.08,False,4.448,,CR442SA0223.csv
CR442SA0224,Mumberes,NTu,Corn,Maize,64.7,131.381,1.0208,True,7.413,,CR442SA0224.csv
CR442SA0225,Mumberes,NTu,Corn,Maize,64.7,118.519,1.0208,True,7.413,,CR442SA0225.csv
CR442SA0226,Mumberes,NTu,Corn,Maize,70.7,106.602,1.09,False,7.413,,CR442SA0226.csv
CR442SA0227,Mumberes,NTu,Corn,Maize,62.7,179.622,1.02,False,7.413,,CR442SA0227.csv
CR442SA0228,Mumberes,NTu,Corn,Maize,68.72,112.394,1.0208,True,7.413,,CR442SA0228.csv
CR442SA0229,Mumberes,NTu,No crop,stratum_avg,64.7,120.356,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0229.csv
CR442SA0230,Mumberes,NTu,Potato,Potato,62.7,103.819,1.0208,True,4.448,,CR442SA0230.csv
CR442SA0231,Mumberes,NTu,Corn,Maize,66.7,145.162,1.0208,True,7.413,,CR442SA0231.csv
CR442SA0232,Mumberes,NTu,Corn,Maize,56.7,122.5,1.0208,True,7.413,,CR442SA0232.csv
CR442SA0233,Mumberes,NTu,Corn,Maize,58.7,104.431,1.0208,True,7.413,,CR442SA0233.csv
CR442SA0234,Mumberes,NTu,Corn,Maize,60.7,100.161,0.93,False,7.413,,CR442SA0234.csv
CR442SA0235,Mumberes,NTu,Corn,Maize,60.7,174.831,1.01,False,7.413,,CR442SA0235.csv
CR442SA0236,Mumberes,NTu,Tea,stratum_avg,66.7,130.463,1.0208,True,4.129,"Stratum average: mean of Maize, Potato, Beans params",CR442SA0236.csv
