Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0037,Regenerative carbon Alliance,Regenerative carbon Alliance,,A65,Adu,-2.8060223,39.9863842,No crop,Top Soil,Moist,,0.38,81.6,7.64,,10.76,16.266375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0036,Regenerative carbon Alliance,Regenerative carbon Alliance,,A64,Adu,-2.806231,39.985358,No crop,Top Soil,Moist,,0.3,79.6,13.6,,6.8,12.841875
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0035,Regenerative carbon Alliance,Regenerative carbon Alliance,,A63,Adu,-2.809631,39.988063,No crop,Top Soil,Moist,,3.76,57.6,11.6,1.24,30.8,160.9515
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0034,Regenerative carbon Alliance,Regenerative carbon Alliance,,A62,Adu,-2.809541,39.998957,No crop,Top Soil,Moist,,0.79,77.6,5.64,,16.76,33.8169375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0033,Regenerative carbon Alliance,Regenerative carbon Alliance,,A61,Adu,-2.806668,39.999537,No crop,Top Soil,Moist,,0.82,79.6,9.64,,10.76,35.101125
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0032,Regenerative carbon Alliance,Regenerative carbon Alliance,,A60,Adu,-2.791509,39.995951,No crop,Top Soil,Moist,,0.5,81.6,5.64,1.5,12.76,21.403125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0059,Regenerative carbon Alliance,Regenerative carbon Alliance,,A87,Adu,-2.831231,39.9514369,No crop,Top Soil,Moist,,0.74,61.6,11.6,,26.8,31.676625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0031,Regenerative carbon Alliance,Regenerative carbon Alliance,,A59,Adu,-2.790589,39.995645,No crop,Top Soil,Moist,,0.42,87.6,3.64,,8.76,17.978625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0060,Regenerative carbon Alliance,Regenerative carbon Alliance,,A88,Adu,-2.8275736,39.9475437,No crop,Top Soil,Moist,,0.2,89.6,3.64,,6.76,8.56125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0062,Regenerative carbon Alliance,Regenerative carbon Alliance,,A90,Adu,-2.8520216,39.9216267,No crop,Top Soil,Moist,,0.22,83.6,7.64,,8.76,9.417375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0089,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu2,Adu,-2.9507139,39.952271,No crop,Top Soil,Moist,,3.93,27.6,19.6,,52.8,168.2285625
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0088,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu28,Adu,-2.874717,39.97051,No crop,Top Soil,Moist,,2.72,61.6,11.6,1.33,26.8,116.433
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0087,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu27,Adu,-2.837881,39.98758,No crop,Top Soil,Moist,,1.4,69.6,5.64,,24.76,59.92875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0086,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu26,Adu,-2.837486,39.987236,No crop,Top Soil,Moist,,0.9,77.6,7.64,,14.76,38.525625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0085,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu25,Adu,-2.837779,39.98681,No crop,Top Soil,Moist,,1.69,67.6,9.64,,22.76,72.3425625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0084,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu24,Adu,-2.839902,39.987911,No crop,Top Soil,Moist,,1.37,61.6,9.64,,28.76,58.6445625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0083,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu23,Adu,-2.851392,39.974449,No crop,Top Soil,Moist,,2.2,63.6,5.64,,30.76,94.17375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0082,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu22,Adu,-2.841846,39.971385,No crop,Top Soil,Moist,,0.63,73.6,11.6,,14.8,26.9679375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0081,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu21,Adu,-2.8422285,39.97397,No crop,Top Soil,Moist,,1.51,59.6,19.6,1.33,20.8,64.6374375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0080,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu20,Adu,-2.845299,39.97803,No crop,Top Soil,Moist,,0.94,71.6,13.6,,14.8,40.237875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0079,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu19,Adu,-2.845075,39.983762,No crop,Top Soil,Moist,,0.56,67.6,11.6,,20.8,23.9715
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0078,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu18,Adu,-2.843977,39.988394,No crop,Top Soil,Moist,,0.81,65.6,13.6,,20.8,34.6730625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0077,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu17,Adu,-2.843977,39.988394,No crop,Top Soil,Moist,,0.93,65.6,5.64,,28.76,39.8098125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0076,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu16,Adu,-2.844136,39.988476,No crop,Top Soil,Moist,,0.66,71.6,5.64,,22.76,28.252125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0075,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu15,Adu,-2.844152,39.988761,No crop,Top Soil,Moist,,0.68,79.6,3.64,,16.76,29.10825
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0074,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu14,Adu,-2.844494,39.988387,No crop,Top Soil,Moist,,1.71,79.6,7.64,,12.76,73.1986875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0073,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu13,Adu,-2.844938,39.988387,No crop,Top Soil,Moist,,0.58,85.6,5.64,,8.76,24.827625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0072,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu12,Adu,-2.850753,39.993803,No crop,Top Soil,Moist,,2.75,39.6,7.64,,52.76,117.7171875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0071,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu11,Adu,-2.849837,40.002843,No crop,Top Soil,Moist,,3.83,33.6,7.64,,58.76,163.9479375
